0,0,8,36,160,669,1721,3527,4705,5345,9785,25715,47505,76329,122701,113084,41926,6066,1406,323,62,77,456,2449,11737,1597808,108,910,4234,11094,24380,59851,105740,107220,84612,45136,12659,3993,976,138,25,0,0,0,0,0,6,92,593,3425,15198,1593210,346635,58840,24995,11765,6603,5046,3511,2086,1048,368,124,42,13,9,23,91,158,314,540,842,1574,2239,3877,7170,12955,1582732
0,1,0,4,67,172,413,994,2013,3185,6833,15524,36332,73529,109371,139702,118226,77048,27832,5754,1665,717,1259,4872,19767,1428320,9,108,1170,7293,16927,53319,108560,189345,153305,65312,16816,5539,1261,223,18,0,0,0,0,0,20,185,1276,6214,25395,1421305,382577,140111,48306,21909,10748,6649,4219,2432,1307,563,230,108,37,28,62,167,312,641,1128,1816,3194,4477,7352,12335,19770,1403122
0,1,0,40,181,544,1347,2540,3951,6405,18213,41280,69771,117437,182899,204599,145247,79208,24057,5360,1567,675,1416,6345,27471,1133046,14,518,6286,20971,41623,101795,163923,226034,200654,106311,26009,8619,2006,323,50,2,0,0,0,0,21,235,1518,8437,35395,1122856,623033,161556,58016,26409,14763,9039,5861,3392,1662,799,362,165,79,24,74,241,473,826,1498,2364,4264,6118,10296,17079,28699,1096508
0,0,3,9,111,366,899,1196,2003,3884,13333,30862,51839,86848,142564,171491,126969,56403,13992,3781,1099,485,1141,5067,21392,1337863,10,381,1342,14512,25344,71192,128453,182762,160101,93608,21290,7011,1623,286,27,1,0,0,0,2,16,195,1259,6659,27445,1330081,486429,122137,47953,22633,11890,7256,4676,2675,1274,607,256,121,36,24,81,220,362,720,1237,1927,3291,4709,7695,13153,21937,1310301
696,2109,4213,6319,10453,16389,19636,19465,14134,12501,14781,21093,28157,46827,60822,73666,65583,40708,13504,2840,856,374,1143,6338,30576,1560417,1003,4912,10475,24777,45785,56308,60515,68343,89183,82306,22210,7009,1809,280,35,5,0,0,0,0,13,182,1201,7108,31282,1558859,288140,51113,24029,19333,22294,22068,19666,14343,7916,3989,1505,436,106,40,75,168,280,512,924,1502,2521,3752,6363,12977,29251,1540297
954,6913,5991,4788,8541,10276,10162,10640,14695,13902,17574,36643,76616,127005,144926,122993,55868,18911,4939,1441,422,245,759,3943,18142,1356311,374,2420,13578,34432,64078,100337,110000,127757,138237,81045,16026,4845,1018,147,19,0,0,0,0,0,13,130,914,5473,23214,1349543,437284,138733,34270,21623,15956,13373,11371,8247,6246,4342,2165,576,113,30,44,118,311,479,877,1311,2189,3214,5465,10138,20338,1334787
2519,3407,3505,2476,1702,2775,5453,8182,10189,8856,9219,12099,19015,38343,76496,115395,96831,66419,31426,9278,2584,1119,1614,6023,27654,1511021,1203,4847,7428,15779,28320,47818,61894,102985,147280,81946,19631,6348,1494,265,30,1,0,0,0,0,13,207,1352,7180,32192,1505387,287391,111417,48134,19596,15782,13998,12215,8550,5903,2647,1156,341,125,35,84,182,342,648,1192,2026,3526,5244,8683,15196,29389,1479798
48,342,1183,4210,11497,17529,15716,8341,3884,1430,297,59,10,0,0,0,0,0,0,0,0,46,287,1665,7799,847257,3,17,83,481,1738,5604,11918,14341,13169,9870,5161,1769,327,59,5,1,0,0,0,0,0,10,103,907,4854,851180,12979,6722,7258,14661,9337,6002,3969,2386,904,263,56,7,2,0,0,2,6,5,34,98,247,605,1428,3298,8111,843220
94,339,1182,2689,6152,11652,11960,7934,3521,1192,259,50,3,0,0,0,0,0,0,0,3,32,249,1581,7060,865648,7,54,153,663,1535,3461,7844,10964,9097,6748,4754,1407,297,41,2,0,0,0,0,0,0,10,93,850,4488,869132,11570,5673,5071,6121,5111,4865,4103,3069,1120,279,41,4,0,0,0,0,0,6,31,90,233,520,1264,2918,7401,862110
128,526,1673,3536,8714,13113,11063,7233,3647,1329,328,51,7,0,0,0,0,0,0,1,0,30,289,1489,7324,861119,8,62,192,812,1848,4335,7753,10111,8582,7677,6724,2580,552,105,6,1,0,0,0,0,0,7,97,780,4364,865004,16964,8453,4898,5289,6176,5110,2718,1131,428,136,36,9,0,0,1,2,6,27,63,136,328,723,1449,3081,7551,856885
